Order ID,Order Date,Ship Date,Region,Segment,Ship Mode,Category,Sub-Category,Quantity,Sales,Discount,Profit
ORD-10000,2025-02-02,2025-02-06,Central,Corporate,Same Day,Furniture,Storage,6,2458.55,0.15,651.96
ORD-10001,2025-10-10,2025-10-14,Central,Home Office,Standard Class,Office Supplies,Art,6,115.47,0.0,47.48
ORD-10002,2025-08-27,2025-08-30,West,Home Office,Standard Class,Furniture,Storage,7,495.38,0.15,105.65
ORD-10003,2025-06-10,2025-06-14,West,Consumer,Standard Class,Technology,Monitors,7,3955.99,0.15,1005.14
ORD-10004,2025-06-08,2025-06-12,South,Home Office,Standard Class,Technology,Monitors,2,953.79,0.05,286.69
ORD-10005,2025-11-10,2025-11-12,Central,Consumer,First Class,Technology,Accessories,7,3158.75,0.2,1060.3
ORD-10006,2025-02-01,2025-02-02,South,Home Office,Same Day,Technology,Accessories,3,872.15,0.1,319.67
ORD-10007,2025-09-12,2025-09-13,West,Consumer,Standard Class,Office Supplies,Paper,1,51.41,0.1,17.61
ORD-10008,2025-03-15,2025-03-20,South,Corporate,Standard Class,Furniture,Storage,7,895.44,0.2,216.96
ORD-10009,2025-02-04,2025-02-06,South,Consumer,Standard Class,Furniture,Bookcases,3,1311.93,0.1,394.39
ORD-10010,2025-07-12,2025-07-14,West,Home Office,Second Class,Office Supplies,Art,4,382.29,0.0,139.34
ORD-10011,2025-12-23,2025-12-24,Central,Corporate,Standard Class,Office Supplies,Binders,1,9.72,0.0,4.26
ORD-10012,2025-09-26,2025-09-29,West,Consumer,Standard Class,Furniture,Tables,4,283.48,0.0,86.11
ORD-10013,2025-10-05,2025-10-06,East,Consumer,First Class,Furniture,Tables,2,550.33,0.05,185.76
ORD-10014,2025-09-19,2025-09-22,West,Consumer,Standard Class,Office Supplies,Art,2,68.86,0.2,32.01
ORD-10015,2025-10-14,2025-10-19,East,Consumer,Standard Class,Office Supplies,Paper,1,8.6,0.0,3.87
ORD-10016,2025-07-07,2025-07-09,South,Home Office,Standard Class,Technology,Laptops,4,2651.19,0.15,860.73
ORD-10017,2025-02-16,2025-02-18,West,Corporate,Same Day,Office Supplies,Paper,1,87.22,0.1,29.71
ORD-10018,2025-11-03,2025-11-08,East,Consumer,Standard Class,Furniture,Bookcases,3,317.22,0.15,51.86
ORD-10019,2025-06-14,2025-06-18,South,Consumer,Standard Class,Office Supplies,Paper,5,595.27,0.0,234.53
ORD-10020,2025-07-02,2025-07-03,East,Home Office,First Class,Office Supplies,Art,5,182.08,0.0,81.94
ORD-10021,2025-05-16,2025-05-18,Central,Consumer,Second Class,Office Supplies,Paper,2,135.43,0.1,50.48
ORD-10022,2025-03-08,2025-03-11,South,Corporate,Same Day,Office Supplies,Art,6,32.81,0.15,12.38
ORD-10023,2025-12-05,2025-12-06,Central,Consumer,Second Class,Technology,Phones,4,2952.8,0.15,779.81
ORD-10024,2025-10-13,2025-10-16,South,Home Office,Standard Class,Technology,Phones,4,1713.45,0.15,345.99
ORD-10025,2025-08-24,2025-08-26,Central,Corporate,Standard Class,Office Supplies,Binders,1,111.73,0.05,33.78
ORD-10026,2025-05-27,2025-05-29,West,Corporate,Second Class,Office Supplies,Art,3,303.94,0.1,108.92
ORD-10027,2025-10-28,2025-10-30,East,Consumer,Second Class,Furniture,Tables,1,139.6,0.15,30.86
ORD-10028,2025-07-19,2025-07-23,East,Corporate,Standard Class,Technology,Phones,2,468.39,0.2,129.67
ORD-10029,2025-06-11,2025-06-16,West,Consumer,Second Class,Technology,Phones,3,1966.43,0.2,684.42
ORD-10030,2025-06-14,2025-06-15,South,Consumer,First Class,Technology,Monitors,3,1669.36,0.05,493.44
ORD-10031,2025-03-24,2025-03-27,South,Consumer,Standard Class,Furniture,Storage,6,2082.72,0.2,316.34
ORD-10032,2025-02-03,2025-02-06,West,Home Office,Standard Class,Office Supplies,Art,1,28.22,0.15,9.74
ORD-10033,2025-07-22,2025-07-23,West,Consumer,Standard Class,Technology,Monitors,3,2297.2,0.1,444.11
ORD-10034,2025-11-21,2025-11-26,West,Consumer,Standard Class,Furniture,Tables,4,1143.34,0.0,345.46
ORD-10035,2025-01-24,2025-01-26,East,Consumer,First Class,Technology,Laptops,1,520.8,0.1,137.08
ORD-10036,2025-11-10,2025-11-14,South,Consumer,Standard Class,Office Supplies,Binders,6,61.34,0.05,25.41
ORD-10037,2025-10-30,2025-11-02,Central,Consumer,First Class,Office Supplies,Art,4,453.1,0.05,193.52
ORD-10038,2025-04-12,2025-04-16,East,Corporate,Standard Class,Furniture,Storage,1,182.49,0.1,62.16
ORD-10039,2025-08-19,2025-08-23,Central,Consumer,Standard Class,Furniture,Bookcases,1,48.42,0.2,11.36
